Name,URL,Openness,Preservation policy URL,Assigns DOI,re3data entry,Recommender
World Bank Microdata Catalog,https://microdata.worldbank.org,World Bank Employees only,https://documents1.worldbank.org/curated/en/568301468326225648/pdf/798430PP0AMS010ox0379792B00PUBLIC0.pdf,No,No,AEA Data Editor
CodeOcean,https://codeocean.com/,All,https://help.codeocean.com/en/articles/2443989-code-ocean-s-preservation-plan,Yes,No,AEA Data Editor
World Bank Reproducible Research Repository,https://reproducibility.worldbank.org,World Bank Employees only,https://documents1.worldbank.org/curated/en/568301468326225648/pdf/798430PP0AMS010ox0379792B00PUBLIC0.pdf,Yes,No,AEA Data Editor
IDB Open Data Catalog,https://data.iadb.org/,IDB Employees only,https://www.iadb.org/document.cfm?id=EZIDB0000576-908968382-863,Yes,https://doi.org/10.17616/R31NJNM1,AEA Data Editor
